filename,0lig,1cla,2uph,4sad,6qui
「ＭＶ」__千本桜__WhiteFlame_feat_初音ミク_[shs0rAiwsGQ]_6,37.0,34.0,10.0,11.0,22.0
「ＭＶ」__千本桜__WhiteFlame_feat_初音ミク_[shs0rAiwsGQ]_7,34.0,23.0,9.0,9.0,14.0
LOST：SMILE_memories_+_promises_OP_Full「White_Promise」_[AKG4bPVWqHs]_0,21.0,31.0,5.0,8.0,26.0
LOST：SMILE_memories_+_promises_OP_Full「White_Promise」_[AKG4bPVWqHs]_1,29.0,22.0,7.0,15.0,21.0
LOST：SMILE_memories_+_promises_OP_Full「White_Promise」_[AKG4bPVWqHs]_2,36.0,17.0,11.0,9.0,8.0
LOST：SMILE_memories_+_promises_OP_Full「White_Promise」_[AKG4bPVWqHs]_3,52.0,23.0,10.0,21.0,26.0
LOST：SMILE_memories_+_promises_OP_Full「White_Promise」_[AKG4bPVWqHs]_4,32.0,16.0,10.0,9.0,6.0
LOST：SMILE_memories_+_promises_OP_Full「White_Promise」_[AKG4bPVWqHs]_5,20.0,24.0,4.0,15.0,22.0
LOST：SMILE_memories_+_promises_OP_Full「White_Promise」_[AKG4bPVWqHs]_6,37.0,25.0,11.0,11.0,11.0
LOST：SMILE_memories_+_promises_OP_Full「White_Promise」_[AKG4bPVWqHs]_7,29.0,12.0,8.0,6.0,6.0
schwarzweiβ_～霧の向こうに繋がる世界～__霜月はるか+Revo_Sound_Horizon_[I-O1KH4iRrw]_0,43.0,20.0,6.0,17.0,22.0
schwarzweiβ_～霧の向こうに繋がる世界～__霜月はるか+Revo_Sound_Horizon_[I-O1KH4iRrw]_1,28.0,17.0,6.0,6.0,11.0
schwarzweiβ_～霧の向こうに繋がる世界～__霜月はるか+Revo_Sound_Horizon_[I-O1KH4iRrw]_2,32.0,16.0,4.0,9.0,14.0
schwarzweiβ_～霧の向こうに繋がる世界～__霜月はるか+Revo_Sound_Horizon_[I-O1KH4iRrw]_3,29.0,17.0,6.0,6.0,10.0
schwarzweiβ_～霧の向こうに繋がる世界～__霜月はるか+Revo_Sound_Horizon_[I-O1KH4iRrw]_4,40.0,36.0,11.0,13.0,12.0
schwarzweiβ_～霧の向こうに繋がる世界～__霜月はるか+Revo_Sound_Horizon_[I-O1KH4iRrw]_5,54.0,24.0,12.0,12.0,9.0
schwarzweiβ_～霧の向こうに繋がる世界～__霜月はるか+Revo_Sound_Horizon_[I-O1KH4iRrw]_6,29.0,21.0,7.0,7.0,14.0
